,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,ZrO2,V2O5,换算系数,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Zn,Li,Zr,V,Fe_projected,Mg_projected,Ca_projected
34,53.98,0.0,0.0,0.0,13.76,0.0,10.27,14.01,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315453973768578,2.0802590666915406,0.0,0.0,0.0,0.44346983295829345,0.0,0.5900087413309669,0.5784815552275937,0.4550434742001271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275112159933641,0.3660194384012511,0.3588684016651079
35,53.78,0.0,0.0,0.0,12.56,0.0,11.06,15.64,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3042839762593124,2.062553338602031,0.0,0.0,0.0,0.40284236320106015,0.0,0.6323288204006549,0.6426699250797233,0.3941044282289996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24009565692286622,0.37687050169940217,0.38303384137773155
36,54.65,0.0,0.0,0.0,7.81,0.0,14.11,19.12,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2461945572844484,2.04308261164714,0.0,0.0,0.0,0.2441787691719774,0.0,0.7863687277511802,0.7658619386785785,0.2348506822079679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13592601126044843,0.4377447101794883,0.42632927856006325
37,54.4,0.0,0.0,0.0,7.46,0.0,14.23,20.05,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2466738321306066,2.034170338829702,0.0,0.0,0.0,0.2332858246714315,0.0,0.7932257004569901,0.8032849534429206,0.20372568753850637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1274927716844089,0.43350487868263926,0.439002349632952
38,54.71,0.0,0.0,0.0,6.85,0.0,14.68,20.68,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2300801073333836,2.030652308842924,0.0,0.0,0.0,0.21262803762643612,0.0,0.8122661764503292,0.8224059172148006,0.18279050204517142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11510205300411808,0.4397044977647578,0.4451934492311241
39,53.24,0.0,0.0,0.0,5.13,0.0,15.69,22.59,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255268819080407,1.9984107306199905,0.0,0.0,0.0,0.16103681646181295,0.0,0.8779567231880603,0.9085101311237476,0.11134973597279708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08268883847486826,0.45081133163631126,0.4664998298888205
40,54.44,0.0,1e-07,1e-07,3.39,0.0,16.9,23.66,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209732026913825,2.0021938242962007,0.0,4.334550215113575e-09,2.907752570138398e-09,0.10426746243580352,0.0,0.926569850507236,0.9323298278577865,0.06489039948663475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053111862086928655,0.47197705750579366,0.4749110804072777
41,54.62,0.0,0.16,1e-07,1.94,0.0,17.73,24.59,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1912880890875472,1.9920469255190625,0.0,0.006877393741680627,2.883482474504796e-09,0.059171244541365214,0.0,0.9639623317666289,0.9608890295604754,0.04313489631132206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02982387618283416,0.4858625748090567,0.48431354900810913
42,50.69,0.0,1e-07,1e-07,11.25,0.0,12.17,20.12,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3545719540554657,1.9864729183141911,0.0,4.618664274964379e-09,3.098345214529296e-09,0.36870071937982285,0.0,0.7109751062141478,0.8448024629633534,0.20515172647755642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19158476433434726,0.36943784216299314,0.43897739350265963
43,53.75,0.0,0.2,1.76,2.8,0.0,15.71,23.38,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2245915872240274,1.9901103109580325,0.0,0.008727396648550996,0.0515205862728788,0.08669974450513998,0.0,0.8671182472034903,0.9274916865969605,0.09619545079239707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046084780993220886,0.46091202166379325,0.4930031973429859
44,51.58,0.0,1e-07,1e-07,12.23,0.0,10.84,23.77,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.320334430818829,1.991958622932197,0.0,4.551504881018505e-09,3.0532925814615907e-09,0.3949903970952937,0.0,0.6240677161094706,0.9835467200557012,0.026955818935888422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19723831208986195,0.31162798857996277,0.4911336993301752
45,54.29,0.0,0.24,1e-07,3.27,0.0,16.64,23.95,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.210186663716617,1.9970879279192972,0.0,0.010405060843907611,2.908350819752241e-09,0.10059727173255022,0.0,0.9125026321021364,0.9439515415591592,0.0663302062783437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514024666900392,0.46626399845023,0.4823335348597309
46,52.75,0.0,1e-07,2.07,1.53,0.0,16.41,23.57,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2532725622906207,1.9782655270347727,0.0,4.4199581445299e-09,0.06137647071750698,0.04798601164056358,0.0,0.9174325810636433,0.9470840860457928,0.077803108948512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025090689897452563,0.47970263846285005,0.4952066716396974
47,52.84,0.0,1e-07,1e-07,6.73,0.0,14.47,24.2,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2657342664338853,1.9926002136771883,0.0,4.444402684282673e-09,2.9814450604107996e-09,0.21224307684845012,0.0,0.8134471723724275,0.9777764368225836,0.02266575092677943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1059379116842704,0.4060198145739376,0.4880422737417919
48,54.24,0.0,1e-07,1e-07,4.35,0.0,16.01,25.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2126517095702027,1.997473973121978,0.0,4.340277385165022e-09,2.9115945358811524e-09,0.13397131196245174,0.0,0.8789339487450116,0.9864345942053795,0.011424375930788273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067007773407434,0.4396120782493615,0.4933801483432046
49,51.75,0.55,6.71,0.75,2.54,0.09,14.79,20.31,2.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.183809916830268,1.8809340944354704,0.01503907161155259,0.28743641153661953,0.02155231546523368,0.07720724331536218,0.0027706682339924734,0.8013732798213492,0.7909335273075009,0.1416479640133868,0.0,0.0,0.001461876718276568,0.0,0.0,0.0,0.0,0.04624533905229455,0.4800039146769238,0.47375074627078156
50,52.26,0.57,6.67,0.71,2.58,0.08,14.33,20.9,1.7,0.0,0.0,0.07,0.0,0.0,0.0,0.0,2.1756532105839823,1.8923761593981479,0.015527732173453577,0.2846557324923776,0.020326652317136467,0.07813018878830069,0.002453617390737113,0.7735487918734733,0.8108699128199658,0.11935429136591863,0.0,0.0,0.0020389830870893642,0.0,0.0,0.0,0.0,0.04699422019684428,0.46527882271991017,0.4877269570832455
51,52.22,0.51,6.25,0.88,2.24,0.05,14.5,20.3,1.95,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.191526863624502,1.9047240120911324,0.013994599642502926,0.26867746638655027,0.02537741073353416,0.0683288816674863,0.0015446994259867928,0.7884363716394224,0.7933376487967864,0.1379052675691879,0.0,0.0,0.0008802255383271979,0.0,0.0,0.0,0.0,0.04140886097489719,0.477810426631124,0.4807807123939788
52,52.6,0.51,6.12,0.77,3.18,0.09,15.29,20.12,1.56,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.167250966894789,1.8973320383247492,0.013839579203860794,0.2601746960522584,0.021959263427076794,0.09592809524421565,0.00274965937409999,0.8221830906069203,0.7775931211356375,0.10910213493250304,0.0,0.0,0.0014507918966521107,0.0,0.0,0.0,0.0,0.05657123995555429,0.484862300118775,0.45856645992567074
53,52.07,0.55,6.4,0.68,3.23,0.08,15.18,19.79,1.63,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.1806207782295735,1.8898011737498774,0.015017109222140683,0.27375656843769103,0.01951222955866688,0.09803748557543458,0.002459219621049183,0.8213036773899595,0.7695576653737406,0.11470099774155587,0.0,0.0,0.0017516902304634285,0.0,0.0,0.0,0.0,0.05804816957084681,0.4862953680876377,0.4556564623415155
54,53.56,0.3,5.79,0.98,2.88,0.11,16.09,19.74,1.65,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.1427702162128632,1.9101371898933304,0.00804897094927514,0.2433652654865677,0.027632457768504374,0.08589691863889881,0.0033227331827313665,0.8554280661687418,0.7542893533541721,0.11409299762012437,0.0,0.0,0.0011475232775734288,0.0,0.0,0.0,0.0,0.05065828750423179,0.5044944754926389,0.4448472370031293
55,51.53,0.33,7.14,0.68,3.44,0.11,15.34,18.77,1.84,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.188040158427417,1.8765659065586737,0.009040922209742036,0.30644880258087576,0.019578618291200594,0.10476669095526855,0.0033929320020160973,0.8327842405288948,0.7323771559406282,0.12991896643937095,0.0,0.0,0.0014647085085600982,0.0,0.0,0.0,0.0,0.06273724703728413,0.4986946724233722,0.43856808053934376
56,51.84,0.61,6.87,0.7,3.28,0.11,14.76,20.59,1.5,0.0,0.0,1e-07,0.0,0.0,0.0,0.0,2.1726191708623417,1.874549836351444,0.016594223930708425,0.2927822694185758,0.020012414314241677,0.09918978453911922,0.0033690191126613416,0.7956495375627273,0.7977286361263193,0.10516574717374226,0.0,0.0,2.908770913702059e-09,0.0,0.0,0.0,0.0,0.058603132628691774,0.470084249022201,0.4713126183491073
57,52.86,0.14,4.41,0.7,2.95,0.09,16.05,21.84,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.17928129716192,1.9172945653176288,0.0038201888386986643,0.1885195131471291,0.02007378044481303,0.08948387933060054,0.002764922631977287,0.867841028668341,0.8487526709705642,0.07032548516907626,0.0,0.0,0.0008753071134105073,0.0,0.0,0.0,0.0,0.04954597763273125,0.48051149007868493,0.46994253228858374
58,51.87,0.52,6.28,0.94,3.0,0.09,15.58,21.04,1.48,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.1641608803519627,1.868332554364068,0.014090823987767115,0.2665959911064315,0.026769190237857277,0.0903691698827444,0.0027457388842448464,0.8365826348720617,0.811989673531132,0.10335957219358487,0.0,0.0,0.0017384680129213005,0.0,0.0,0.0,0.0,0.05196791899622788,0.48108728517803545,0.4669447958257366
59,52.55,0.39,5.11,0.95,2.98,0.11,15.16,21.1,1.5,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.1832769712298923,1.9095452097620098,0.010661466459395957,0.2188437572550682,0.027292937287151015,0.09055962048695895,0.0033855458623185102,0.8212206948155312,0.8214980133200906,0.10568163857059355,0.0,0.0,0.000876911973663803,0.0,0.0,0.0,0.0,0.05224759289463095,0.47379620529159167,0.4739562018137774
60,52.98,0.66,6.79,0.73,2.68,0.1,15.1,20.44,1.78,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.1416812271072527,1.8884921094509637,0.01769873674188677,0.28525221965806347,0.020572900615022066,0.07989123223438893,0.0030191313801080574,0.802386525638138,0.7806402675262987,0.1230195906304245,0.0,0.0,0.0014336751105253928,0.0,0.0,0.0,0.0,0.04804279646630701,0.4825171856837006,0.46944001784999234
