,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
1812,1,48.665,2.341,4.17,0.004,6.716,0.042,13.137,23.727,0.478,0.167692266608328,0.0200622537814309,0,1
1813,1,49.965,1.283,5.022,0.535,6.643,0.108,14.04,21.441,0.396,0.141801742264618,0.0364783609234652,0,4
1814,1,52.577,0.713,2.951,0.316,5.244,0.043,15.67,22.48,0.254,0.0759102681216728,0.0339336087044126,1,5
1815,-1,50.964,1.053,3.029,0.429,6.458,0.143,15.765,20.661,0.349,0.0993869476751101,1e-07,1,6
1816,1,48.393,2.123,8.093,0.073,6.749,0.103,13.904,20.034,0.631,0.21849733768217,0.0308130163207737,0,7
1817,1,52.708,0.868,2.205,0.581,6.89,0.179,14.529,21.604,0.217,0.0509547920686104,0.0161885452347371,1,3
1818,1,51.533,0.833,2.687,0.376,5.451,0.031,16.217,21.29,0.28,0.0837457651191167,0.00324909246456565,1,3
1819,1,51.623,1.34,2.365,0.034,8.182,0.138,13.901,22.112,0.392,0.0791432431483892,0.0222198112184008,1,6
1820,1,51.578,0.906,2.599,0.474,5.814,0.078,16.589,21.489,0.216,0.096342134355202,0.00399238850250474,1,3
1821,1,52.972,0.724,2.078,0.736,6.074,0.109,16.169,21.16,0.275,0.0601003780096301,0.0115620592383639,1,3
1822,1,49.933,1.733,4.198,0.306,7.524,0.13,13.641,21.885,0.416,0.137343042808497,0.0100782151557892,0,4
1823,1,49.902,1.513,4.21,0.558,6.728,0.18,14.619,21.562,0.333,0.14235887854381,0.00392119072440407,0,4
1824,1,53.811,0.894,0.963,0.595,3.715,0.085,16.206,23.059,0.251,0.0272151606821396,0.00318335684062059,1,5
1825,1,48.651,1.796,5.329,0.287,6.628,0.059,14.319,21.993,0.447,0.183510488120992,0.0034243401168648,0,4
1826,-1,51.783,0.497,3.159,1.239,4.37,0.105,16.918,22.112,0.21955,0.106363154292912,0.0196016789301069,1,5
1827,1,47.879,2.304,6.473,0.41,6.368,0.13,12.542,22.506,0.562,0.204663090679478,0.0356648288242082,0,7
